budget,size_eval,hidden_size,epochs,learning_rate,total_time,absolute_error
130,10,10,300,0.01,0.41536688804626465,0.4173999999999971
130,10,10,300,0.01,0.41705322265625,0.0
130,10,10,300,0.01,0.41364598274230957,0.07379999999999853
130,10,10,300,0.01,0.42677927017211914,0.0
130,10,10,300,0.01,0.41347813606262207,0.0
130,10,10,300,0.01,0.41445469856262207,0.0
130,10,10,300,0.01,0.4229121208190918,0.07379999999999853
130,10,10,300,0.01,0.41893625259399414,0.0
130,10,10,300,0.01,0.4143791198730469,0.4173999999999971
140,10,10,300,0.01,0.4409935474395752,0.34979999999999833
140,10,10,300,0.01,0.43608689308166504,0.0
140,10,10,300,0.01,0.4436006546020508,0.0
140,10,10,300,0.01,0.4520998001098633,0.4173999999999971
140,10,10,300,0.01,0.4447462558746338,0.0
140,10,10,300,0.01,0.4564170837402344,0.45339999999999847
140,10,10,300,0.01,0.4663209915161133,0.0
